,name,position,country,overall_rating,dribbling,freekick_accuracy,agility,ball_control,interceptions,penalties
0,Hernán Ismael Galíndez,GK,Ecuador,53.0,62.0,33.0,56.0,56.0,41.0,50.0
1,Felix Eduardo Torres Caicedo,DF,Ecuador,71.0,68.0,38.0,72.0,71.0,69.0,45.0
2,Piero Martín Hincapié Reyna,DF,Ecuador,64.0,13.0,13.0,35.0,13.0,29.0,20.0
3,Robert Abel Arboleda Escobar,DF,Ecuador,66.0,68.0,45.0,59.0,71.0,37.0,44.0
4,José Adoni Cifuentes Charcopa,MF,Ecuador,72.0,74.0,77.0,74.0,75.0,26.0,72.0
5,William Joel Pacho Tenorio,DF,Ecuador,58.0,57.0,28.0,54.0,64.0,17.0,53.0
6,Pervis Josué Estupiñán Tenorio,DF,Ecuador,66.0,49.0,36.0,63.0,61.0,58.0,40.0
7,Carlos Armando Gruezo Arboleda,MF,Ecuador,67.0,32.0,26.0,47.0,41.0,73.0,40.0
8,Eduar Ayrton Preciado García,MF,Ecuador,71.0,73.0,68.0,79.0,68.0,37.0,71.0
9,Romario Andrés Ibarra Mina,MF,Ecuador,71.0,57.0,58.0,74.0,64.0,68.0,55.0
10,Michael Steveen Estrada Martínez,FW,Ecuador,63.0,57.0,28.0,65.0,62.0,66.0,34.0
11,Wellington Moisés Ramírez Preciado,GK,Ecuador,67.7,53.85,42.65,59.95,59.0,50.1,47.8
12,Enner Remberto Valencia Lastra,FW,Ecuador,76.0,74.0,65.0,80.0,74.0,42.0,70.0
13,Xavier Ricardo Arreaga Bermello,DF,Ecuador,67.0,25.0,22.0,42.0,31.0,53.0,34.0
14,Ángel Israel Mena Delgado,MF,Ecuador,67.7,53.85,42.65,59.95,59.0,50.1,47.8
15,Jeremy Leonel Sarmiento Morante,MF,Ecuador,67.7,53.85,42.65,59.95,59.0,50.1,47.8
16,Ángelo Smit Preciado Quiñónez,DF,Ecuador,67.7,53.85,42.65,59.95,59.0,50.1,47.8
17,Diego José Palacios Espinoza,DF,Ecuador,66.0,67.0,27.0,58.0,65.0,64.0,37.0
18,Gonzalo Jordy Plata Jiménez,MF,Ecuador,67.7,53.85,42.65,59.95,59.0,50.1,47.8
19,"Jhegson Sebastián ""Sebas"" Méndez Carabalí",MF,Ecuador,67.7,53.85,42.65,59.95,59.0,50.1,47.8
20,Alan Steven Franco Palma,MF,Ecuador,75.0,36.0,35.0,41.0,68.0,75.0,42.0
21,Alexander Domínguez Carabalí,GK,Ecuador,71.0,19.0,11.0,36.0,22.0,16.0,18.0
22,Moisés Isaac Caicedo Corozo,MF,Ecuador,77.0,72.0,68.0,61.0,77.0,43.0,73.0
23,Djorkaeff Néicer Reasco González,FW,Ecuador,70.0,69.0,65.0,77.0,72.0,63.0,58.0
24,Jackson Gabriel Porozo Vernaza,DF,Ecuador,63.0,39.0,34.0,54.0,57.0,63.0,45.0
25,Kevin José Rodríguez Cortez,FW,Ecuador,67.0,66.0,76.0,72.0,68.0,62.0,55.0
26,Remko Jurian Pasveer,GK,Netherlands,69.0,11.0,14.0,57.0,30.0,13.0,28.0
27,Jurriën David Norman Timber,DF,Netherlands,49.0,49.0,36.0,56.0,45.0,41.0,43.0
