,name,position,country,overall_rating,dribbling,freekick_accuracy,agility,ball_control,interceptions,penalties
0,Jefferson de Oliveira Galvão,GK,Brazil,72.0,78.0,53.0,90.0,74.0,30.0,60.0
1,Daniel Alves da Silva,DF,Brazil,67.0,70.0,45.0,81.0,72.0,30.0,50.0
2,Thiago Emiliano da Silva,DF,Brazil,88.0,62.0,64.0,68.0,80.0,89.0,60.0
3,David Luiz Moreira Marinho,DF,Brazil,55.0,12.0,21.0,30.0,18.0,24.0,24.0
4,Fernando Luiz Roza,MF,Brazil,70.0,59.0,34.0,69.0,60.0,68.0,46.0
5,Marcelo Vieira da Silva Júnior,DF,Brazil,87.0,90.0,67.0,86.0,92.0,83.0,59.0
6,Givanildo Vieira de Sousa,FW,Brazil,81.0,82.0,81.0,69.0,79.0,48.0,78.0
7,José Paulo Bezerra Maciel Júnior,MF,Brazil,85.0,82.0,72.0,71.0,84.0,81.0,71.0
8,Frederico Chaves Guedes,FW,Brazil,76.0,71.0,48.0,68.0,74.0,68.0,42.0
9,Neymar da Silva Santos Júnior,FW,Brazil,92.0,96.0,87.0,96.0,95.0,36.0,81.0
10,Oscar dos Santos Emboaba Júnior,MF,Brazil,83.0,78.0,76.0,86.0,84.0,45.0,70.0
11,Júlio César Soares de Espíndola,GK,Brazil,73.0,65.0,70.0,62.0,68.0,73.0,65.0
12,Dante Bonfim Costa Santos,DF,Brazil,80.0,57.0,55.0,52.0,74.0,79.0,57.0
13,Maxwell Scherrer Cabelino Andrade,DF,Brazil,75.27272727272727,66.72727272727273,57.18181818181818,69.4090909090909,70.5909090909091,56.86363636363637,58.09090909090909
14,Henrique Adriano Buss,DF,Brazil,64.0,60.0,52.0,59.0,60.0,62.0,41.0
15,Ramires Santos do Nascimento,MF,Brazil,82.0,87.0,61.0,80.0,84.0,70.0,67.0
16,Luiz Gustavo Dias,MF,Brazil,82.0,68.0,60.0,65.0,73.0,83.0,58.0
17,Anderson Hernanes de Carvalho Viana Lima,MF,Brazil,60.0,53.0,35.0,73.0,48.0,57.0,39.0
18,Willian Borges da Silva,MF,Brazil,82.0,79.0,71.0,65.0,80.0,35.0,80.0
19,Bernard Anício Caldeira Duarte,FW,Brazil,70.0,75.0,66.0,77.0,71.0,31.0,73.0
20,João Alves de Assis Silva,FW,Brazil,77.0,73.0,66.0,68.0,76.0,32.0,72.0
21,Victor Leandro Bagy,GK,Brazil,60.0,32.0,31.0,49.0,43.0,56.0,39.0
